file_name,precision,recall,f1_score,tp,fp,fn
0186.jpg,0.4444444444444444,0.4444444444444444,0.4444444444444444,4,5,5
0187.jpg,0.8,0.8,0.8000000000000002,4,1,1
0190.jpg,0.5,0.6,0.5454545454545454,3,3,2
0191.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
0193.jpg,0.25,0.2,0.22222222222222224,1,3,4
0194.jpg,0.7777777777777778,1.0,0.8750000000000001,7,2,0
0195.jpg,0.6666666666666666,0.5,0.5714285714285715,2,1,2
0196.jpg,0.6363636363636364,0.7777777777777778,0.7000000000000001,7,4,2
0197.jpg,0.7777777777777778,0.7,0.7368421052631577,7,2,3
0198.jpg,0.5,0.6,0.5454545454545454,3,3,2
0199.jpg,0.75,0.5,0.6,3,1,3
0200.jpg,0.4,0.5,0.4444444444444445,2,3,2
0201.jpg,0.6666666666666666,0.36363636363636365,0.4705882352941177,4,2,7
0202.jpg,0.3333333333333333,0.4,0.3636363636363636,2,4,3
0203.jpg,0.3333333333333333,0.25,0.28571428571428575,1,2,3
0204.jpg,0.8181818181818182,0.8181818181818182,0.8181818181818182,9,2,2
0205.jpg,0.7333333333333333,0.8461538461538461,0.7857142857142856,11,4,2
0206.jpg,0.2857142857142857,0.4,0.3333333333333333,2,5,3
0207.jpg,0.75,1.0,0.8571428571428571,3,1,0
0208.jpg,0.6666666666666666,0.8571428571428571,0.75,6,3,1
0209.jpg,0.6666666666666666,0.75,0.7058823529411765,6,3,2
0210.jpg,0.8,0.6666666666666666,0.7272727272727272,4,1,2
0211.jpg,0.75,0.6,0.6666666666666665,3,1,2
0212.jpg,0.8333333333333334,1.0,0.9090909090909091,5,1,0
0213.jpg,0.5714285714285714,0.8,0.6666666666666666,4,3,1
0214.jpg,0.75,0.8571428571428571,0.7999999999999999,6,2,1
0215.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2
0216.jpg,0.5,0.5,0.5,2,2,2
0217.jpg,0.4444444444444444,0.5714285714285714,0.5,4,5,3
0218.jpg,1.0,1.0,1.0,4,0,0
0219.jpg,0.6363636363636364,0.7777777777777778,0.7000000000000001,7,4,2
0220.jpg,1.0,0.8333333333333334,0.9090909090909091,5,0,1
0221.jpg,1.0,0.8571428571428571,0.923076923076923,6,0,1
0222.jpg,0.5,0.6666666666666666,0.5714285714285715,2,2,1
0223.jpg,0.75,0.75,0.75,3,1,1
0224.jpg,0.3333333333333333,0.5,0.4,3,6,3
0225.jpg,0.8,0.8,0.8000000000000002,4,1,1
0226.jpg,0.75,0.75,0.75,3,1,1
0227.jpg,0.75,0.5,0.6,3,1,3
0228.jpg,1.0,0.75,0.8571428571428571,3,0,1
0229.jpg,0.75,0.6,0.6666666666666665,3,1,2
0230.jpg,1.0,0.8,0.888888888888889,4,0,1
0231.jpg,0.6363636363636364,0.6363636363636364,0.6363636363636364,7,4,4
0232.jpg,0.5,0.42857142857142855,0.4615384615384615,3,3,4
0233.jpg,1.0,1.0,1.0,4,0,0
0234.jpg,0.8,0.6666666666666666,0.7272727272727272,4,1,2
0235.jpg,0.42857142857142855,0.375,0.39999999999999997,3,4,5
0236.jpg,0.5,0.2857142857142857,0.36363636363636365,2,2,5
0237.jpg,0.5714285714285714,0.5,0.5333333333333333,4,3,4
0238.jpg,0.2857142857142857,0.2222222222222222,0.25,2,5,7
0239.jpg,0.5,0.6,0.5454545454545454,3,3,2
0240.jpg,1.0,1.0,1.0,6,0,0
0241.jpg,0.6666666666666666,1.0,0.8,4,2,0
0242.jpg,1.0,1.0,1.0,5,0,0
