file_name,precision,recall,f1
0172.jpg,0.25,0.5,0.3333333333333333
0173.jpg,0.0,0.0,0.0
0176.jpg,0.0,0.0,0.0
0177.jpg,1.0,0.3333333333333333,0.5
0178.jpg,1.0,0.5,0.6666666666666666
0179.jpg,0.0,0.0,0.0
0180.jpg,0.0,0.0,0.0
0181.jpg,0.0,0.0,0.0
0182.jpg,0.0,0.0,0.0
0183.jpg,0.0,0.0,0.0
0185.jpg,0.0,0.0,0.0
0186.jpg,0.0,0.0,0.0
0187.jpg,0.0,0.0,0.0
0190.jpg,0.0,0.0,0.0
0191.jpg,1.0,1.0,1.0
0193.jpg,0.0,0.0,0.0
0194.jpg,0.0,0.0,0.0
0195.jpg,0.0,0.0,0.0
0196.jpg,0.4,0.5,0.4444444444444445
0197.jpg,0.0,0.0,0.0
0198.jpg,0.0,0.0,0.0
0199.jpg,0.0,0.0,0.0
0200.jpg,0.0,0.0,0.0
0201.jpg,1.0,0.5,0.6666666666666666
0202.jpg,0.3333333333333333,0.5,0.4
0203.jpg,0.0,0.0,0.0
0204.jpg,0.8,0.5714285714285714,0.6666666666666666
0205.jpg,1.0,0.5,0.6666666666666666
0206.jpg,0.0,0.0,0.0
0207.jpg,0.0,0.0,0.0
0208.jpg,0.0,0.0,0.0
0209.jpg,1.0,1.0,1.0
0210.jpg,0.0,0.0,0.0
0211.jpg,0.0,0.0,0.0
0212.jpg,0.0,0.0,0.0
0213.jpg,0.0,0.0,0.0
0214.jpg,1.0,0.3333333333333333,0.5
0215.jpg,0.0,0.0,0.0
0216.jpg,0.0,0.0,0.0
0217.jpg,0.5,0.3333333333333333,0.4
0218.jpg,1.0,1.0,1.0
0219.jpg,0.5,0.5,0.5
0220.jpg,0.0,0.0,0.0
0221.jpg,0.0,0.0,0.0
0222.jpg,0.0,0.0,0.0
0223.jpg,0.0,0.0,0.0
0224.jpg,0.0,0.0,0.0
0225.jpg,1.0,0.5,0.6666666666666666
0226.jpg,0.0,0.0,0.0
0227.jpg,0.0,0.0,0.0
0228.jpg,1.0,0.5,0.6666666666666666
0229.jpg,1.0,1.0,1.0
0230.jpg,0.0,0.0,0.0
0231.jpg,0.0,0.0,0.0
0232.jpg,0.0,0.0,0.0
0233.jpg,0.0,0.0,0.0
0234.jpg,0.5,0.3333333333333333,0.4
0235.jpg,0.0,0.0,0.0
0236.jpg,0.5,0.5,0.5
0237.jpg,0.0,0.0,0.0
0238.jpg,0.0,0.0,0.0
0239.jpg,0.0,0.0,0.0
0240.jpg,0.6666666666666666,1.0,0.8
0241.jpg,0.5,1.0,0.6666666666666666
0242.jpg,1.0,0.5,0.6666666666666666
