file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc,recognition_rate
0001.jpg,6,8,4,0.027777777777777776,0.125,0.9852941176470589,1.0,0.6666666666666666
0002.jpg,7,5,3,0.0,0.0,1.0,1.0,0.42857142857142855
0003.jpg,11,16,5,0.09698544698544699,0.16666666666666666,0.9110204081632652,0.6,0.45454545454545453
0004.jpg,11,5,1,0.3793103448275862,1.0,0.6538461538461539,0.0,0.09090909090909091
0006.jpg,8,4,2,0.16,0.16666666666666666,0.825,0.5,0.25
0007.jpg,6,1,0,,,,,0.0
0009.jpg,15,3,0,,,,,0.0
0010.jpg,4,7,4,0.13693181818181815,0.8333333333333334,0.8595959595959596,0.16666666666666666,1.0
0011.jpg,7,11,0,,,,,0.0
0012.jpg,10,17,4,0.06792717086834735,0.1369047619047619,0.9417032163742691,0.75,0.4
0013.jpg,9,8,4,0.036458333333333336,0.2,0.9734848484848484,0.7,0.4444444444444444
0014.jpg,8,1,0,,,,,0.0
0015.jpg,5,5,2,0.18681318681318682,0.5833333333333333,0.8257575757575757,0.5833333333333333,0.4
0016.jpg,10,11,6,0.10593869731800766,0.4166666666666667,0.9411064425770309,0.6666666666666666,0.6
0017.jpg,10,18,7,0.06283068783068783,0.2619047619047619,0.9469213139801376,0.7619047619047619,0.7
0018.jpeg,8,9,2,0.18055555555555555,0.8333333333333333,0.8368983957219251,0.16666666666666666,0.25
0019.jpg,8,5,2,0.2882352941176471,1.5,0.8411764705882353,0.5,0.25
0020.jpg,12,16,7,0.11493764172335601,0.2619047619047619,0.8865835989568241,0.738095238095238,0.5833333333333334
0022.jpg,13,15,12,0.030982905982905984,0.0625,0.9797101449275362,0.8958333333333334,0.9230769230769231
0023.jpg,11,15,5,0.12453933747412008,0.35,0.9034285714285714,0.8,0.45454545454545453
0024.jpg,11,12,5,0.2126028185217141,0.58,0.811923076923077,0.52,0.45454545454545453
0025.jpg,9,1,0,,,,,0.0
0026.jpg,6,1,0,,,,,0.0
0027.jpg,5,1,0,,,,,0.0
0028.jpg,6,4,1,0.0,0.0,1.0,1.0,0.16666666666666666
0029.jpg,8,16,2,0.04444444444444444,0.41666666666666663,0.9502314814814815,0.5833333333333333,0.25
0030.jpg,6,2,1,0.13513513513513514,1.0,0.875,0.16666666666666666,0.16666666666666666
0031.jpg,6,4,3,0.19657097288676237,1.0,0.8171717171717171,0.16666666666666666,0.5
0032.jpg,8,4,0,,,,,0.0
0035.jpg,8,19,3,0.1809954751131222,1.0,0.907051282051282,0.3333333333333333,0.375
0036.jpg,11,1,0,,,,,0.0
0037.jpeg,8,1,0,,,,,0.0
0039.jpeg,10,23,3,0.19047619047619047,0.3333333333333333,0.888888888888889,0.6666666666666666,0.3
0040.jpeg,9,13,4,0.041666666666666664,0.25,0.9583333333333334,0.75,0.4444444444444444
0041.jpg,12,17,12,0.10291016876970221,0.4166666666666667,0.9368126137147876,0.6111111111111112,1.0
0043.jpg,8,13,5,0.1053540935893877,0.4666666666666666,0.9054055829228244,0.3333333333333333,0.625
0044.jpg,6,3,2,0.0,0.0,1.0,1.0,0.3333333333333333
0045.jpeg,15,20,9,0.12536754467869018,0.3888888888888889,0.8892195767195769,0.6111111111111112,0.6
0046.jpeg,15,10,5,0.4093706293706294,1.6333333333333333,0.6593939393939395,0.06666666666666667,0.3333333333333333
0047.jpg,9,8,5,0.27666666666666667,1.4833333333333334,0.8266339869281045,0.35,0.5555555555555556
0049.jpg,12,7,5,0.14894740051152205,0.4019047619047619,0.8679824007410215,0.8380952380952381,0.4166666666666667
0050.jpg,7,9,5,0.035483870967741936,0.08,0.9584905660377359,0.9199999999999999,0.7142857142857143
0051.jpg,6,6,2,0.11818181818181818,0.41666666666666663,0.8986842105263158,0.3333333333333333,0.3333333333333333
0052.jpeg,11,13,3,0.3520531400966183,1.0,0.7772435897435898,0.0,0.2727272727272727
0054.jpg,8,3,2,0.06227106227106227,0.625,0.9337606837606838,0.375,0.25
0055.jpg,20,0,0,,,,,0.0
0057.jpg,14,21,8,0.07421536796536796,0.19791666666666666,0.9482128982128983,0.7083333333333334,0.5714285714285714
0059.jpg,7,7,1,0.21739130434782608,0.75,0.85,0.0,0.14285714285714285
0060.jpg,7,8,1,0.0,0.0,1.0,1.0,0.14285714285714285
0061.jpg,6,10,3,0.14603174603174604,0.4777777777777778,0.8747551260284707,0.4222222222222222,0.5
0062.jpg,13,11,3,0.08333333333333333,0.375,0.9184704184704184,0.3333333333333333,0.23076923076923078
0063.jpg,12,6,5,0.0,0.0,1.0,1.0,0.4166666666666667
0064.jpg,29,35,28,0.013225055538720134,0.045280612244897954,0.9839932440301898,0.9547193877551019,0.9655172413793104
0066.jpg,6,8,6,0.054503367003367,0.2888888888888889,0.9577922077922079,0.5,1.0
0067.jpeg,9,11,7,0.12876582556553004,0.7809523809523808,0.9206877976816799,0.6857142857142857,0.7777777777777778
0071.jpg,7,8,2,0.18311403508771928,0.8333333333333333,0.8729946524064172,0.0,0.2857142857142857
0072.jpg,27,23,8,0.0778439886671594,0.3708333333333333,0.9289197745539658,0.7125,0.2962962962962963
0073.jpeg,10,3,1,0.0,0.0,1.0,1.0,0.1
0074.jpg,10,8,7,0.009523809523809523,0.07142857142857142,0.9897959183673469,0.9285714285714286,0.7
0075.jpg,6,3,0,,,,,0.0
0078.png,21,7,1,0.10714285714285714,0.2,0.875,0.8,0.047619047619047616
0080.jpg,23,25,10,0.17690806939285642,0.6233333333333333,0.8426526910242151,0.4066666666666666,0.43478260869565216
