file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc,recognition_rate
0001.jpg,6,6,6,0.022222222222222223,0.25,0.9769841269841271,0.75,1.0
0002.jpg,7,7,6,0.060529715762273895,0.3194444444444445,0.9328947368421052,0.6805555555555557,0.8571428571428571
0003.jpg,11,18,6,0.138014763014763,0.75,0.9168556311413454,0.5,0.5454545454545454
0004.jpg,11,28,10,0.01111111111111111,0.05,0.9875,0.95,0.9090909090909091
0006.jpg,8,8,6,0.15385521885521886,0.638888888888889,0.8732142857142858,0.3333333333333333,0.75
0007.jpg,6,7,4,0.011904761904761904,0.125,0.9875,0.875,0.6666666666666666
0009.jpg,15,21,12,0.06187715470803706,0.40158730158730155,0.9401515151515151,0.6817460317460317,0.8
0010.jpg,4,5,4,0.03522727272727273,0.3333333333333333,0.9633838383838385,0.6666666666666666,1.0
0011.jpg,7,10,6,0.026348651348651348,0.4861111111111111,0.9912280701754387,0.625,0.8571428571428571
0012.jpg,10,18,7,0.09158723356304828,0.33333333333333337,0.9189473891511243,0.6904761904761905,0.7
0013.jpg,9,15,6,0.0992063492063492,0.2714285714285714,0.9127272727272727,0.5063492063492063,0.6666666666666666
0014.jpg,8,9,7,0.10996832031314789,0.3238095238095238,0.9022659305268002,0.5238095238095238,0.875
0015.jpg,5,10,2,0.4222222222222222,0.5833333333333333,0.6201923076923077,0.41666666666666663,0.4
0016.jpg,10,12,8,0.046875,0.125,0.953125,0.875,0.8
0017.jpg,10,10,10,0.060582010582010584,0.3,0.9366421225832993,0.7,1.0
0018.jpeg,8,17,5,0.24035087719298245,0.26666666666666666,0.7838235294117647,0.7333333333333333,0.625
0019.jpg,8,45,5,0.2715686274509804,3.6,0.9049019607843138,0.4,0.625
0020.jpg,12,15,8,0.07874503968253968,0.22916666666666666,0.9262423935091277,0.7708333333333333,0.6666666666666666
0022.jpg,13,15,11,0.03305785123966942,0.10606060606060605,0.9818181818181819,0.8181818181818182,0.8461538461538461
0023.jpg,11,15,10,0.029937634628319408,0.06190476190476189,0.9685788113695091,0.9380952380952381,0.9090909090909091
0024.jpg,11,22,5,0.060526315789473685,0.25,0.9375,0.75,0.45454545454545453
0025.jpg,9,33,6,0.09696784696784695,0.2916666666666667,0.9128623188405798,0.6666666666666666,0.6666666666666666
0026.jpg,6,11,2,0.21875,1.0,0.7946428571428572,0.0,0.3333333333333333
0027.jpg,5,18,2,0.0,0.0,1.0,1.0,0.4
0028.jpg,6,13,5,0.01111111111111111,0.1,1.0,0.8,0.8333333333333334
0029.jpg,8,24,3,0.07962962962962962,0.38888888888888884,0.9241722783389451,0.4444444444444444,0.375
0030.jpg,6,11,5,0.01111111111111111,0.05,0.9866666666666667,0.95,0.8333333333333334
0031.jpg,6,6,5,0.08460925039872408,0.5,0.9112554112554113,0.5,0.8333333333333334
0032.jpg,8,12,7,0.07109472523006358,0.29166666666666663,0.9351982898422528,0.619047619047619,0.875
0035.jpg,8,13,5,0.16459330143540668,0.2,0.8533333333333333,0.8,0.625
0036.jpg,11,19,6,0.23105506822612085,0.5499999999999999,0.8032407407407408,0.45,0.5454545454545454
0037.jpeg,8,9,4,0.24500391849529782,0.5595238095238095,0.7410326086956522,0.40476190476190477,0.5
0039.jpeg,10,10,4,0.0787878787878788,0.5,0.9188311688311689,0.5,0.4
0040.jpeg,9,13,9,0.1770746310219994,0.30423280423280424,0.8416485112563544,0.5925925925925926,1.0
0041.jpg,12,12,10,0.05670995670995671,0.38,0.9378480002520924,0.6,0.8333333333333334
0043.jpg,8,13,4,0.11363636363636363,0.125,0.9,0.75,0.5
0044.jpg,6,10,2,0.24583333333333335,0.875,0.7333333333333334,0.125,0.3333333333333333
0045.jpeg,15,30,8,0.10554782388663968,0.22916666666666666,0.9065972222222222,0.7083333333333334,0.5333333333333333
0046.jpeg,15,20,2,0.17094017094017094,0.3333333333333333,0.7922077922077922,0.6666666666666666,0.13333333333333333
0047.jpg,9,11,6,0.09846866096866097,0.47222222222222227,0.8973977411477412,0.5277777777777778,0.6666666666666666
0049.jpg,12,20,7,0.08400467741514019,0.2972789115646259,0.9202011043144048,0.6312925170068028,0.5833333333333334
0050.jpg,7,17,4,0.12343566458841601,0.3083333333333333,0.8938006868586561,0.4,0.5714285714285714
0051.jpg,6,10,4,0.10555555555555556,0.375,0.9049707602339181,0.5,0.6666666666666666
0052.jpeg,11,20,9,0.20175120772946858,0.6111111111111112,0.836894586894587,0.5555555555555556,0.8181818181818182
0054.jpg,8,11,7,0.13543879090097577,0.32142857142857145,0.873931623931624,0.5357142857142857,0.875
0055.jpg,20,22,17,0.06964706897251655,0.22549019607843138,0.936654172318461,0.7107843137254901,0.85
0057.jpg,14,20,9,0.031007751937984496,0.05555555555555555,0.9722222222222222,0.9444444444444444,0.6428571428571429
0059.jpg,7,14,1,0.34782608695652173,0.25,0.65,0.0,0.14285714285714285
0060.jpg,7,13,2,0.171875,0.5,0.8035714285714286,0.5,0.2857142857142857
0061.jpg,6,9,5,0.19325051759834366,0.63,0.808554264072091,0.27,0.8333333333333334
0062.jpg,13,21,7,0.11928471369065842,0.4642857142857143,0.8826748648177218,0.5357142857142857,0.5384615384615384
0063.jpg,12,12,11,0.046366894753991535,0.4090909090909091,0.9675219941348975,0.6818181818181818,0.9166666666666666
0064.jpg,29,32,29,0.024900405652086264,0.08433223864258346,0.9776369153536424,0.9118363437328953,1.0
0066.jpg,6,7,6,0.0707070707070707,0.2333333333333333,0.9372294372294373,0.6666666666666666,1.0
0067.jpeg,9,19,7,0.12764455375646194,0.23809523809523808,0.8867117117117118,0.7619047619047619,0.7777777777777778
0071.jpg,7,13,4,0.31531909483854564,0.8333333333333333,0.7284327192415427,0.08333333333333333,0.5714285714285714
0072.jpg,27,34,21,0.08242775742775743,0.39682539682539686,0.9185279667422522,0.6031746031746031,0.7777777777777778
0073.jpeg,10,12,9,0.04929193899782135,0.2222222222222222,0.9522005772005772,0.7222222222222222,0.9
0074.jpg,10,11,9,0.05277777777777778,0.2222222222222222,0.9583333333333334,0.7777777777777778,0.9
0075.jpg,6,11,3,0.30352011494252873,0.8777777777777779,0.7083333333333334,0.05555555555555555,0.5
0078.png,21,20,14,0.10700371057513915,0.3059523809523809,0.909758370284686,0.694047619047619,0.6666666666666666
0080.jpg,23,71,4,0.3447128851540617,1.25,0.8041455829643686,0.1875,0.17391304347826086
0081.jpg,18,26,11,0.14085101941123798,0.4090909090909091,0.863598901098901,0.5,0.6111111111111112
0082.jpg,9,6,4,0.11489898989898989,0.6875,0.912878787878788,0.3125,0.4444444444444444
0086.jpg,6,11,3,0.012820512820512822,0.16666666666666666,0.9866666666666667,0.8333333333333334,0.5
0089.jpeg,11,23,9,0.1891614558281225,0.4444444444444444,0.8358885266780004,0.3888888888888889,0.8181818181818182
0090.jpeg,14,27,9,0.13751402918069586,0.25,0.882010582010582,0.5833333333333334,0.6428571428571429
0091.jpg,15,20,3,0.11507936507936507,0.3333333333333333,0.8686274509803922,0.6666666666666666,0.2
0093.jpg,17,17,10,0.010065647880773932,0.15388888888888888,0.9967741935483871,0.8172222222222223,0.5882352941176471
0094.jpg,15,21,10,0.21212936186620396,0.8571428571428571,0.7825393676532197,0.24285714285714283,0.6666666666666666
0095.jpg,18,36,11,0.16111806328018785,0.41666666666666663,0.8407591833453903,0.537878787878788,0.6111111111111112
0096.jpg,6,12,3,0.0196078431372549,0.3333333333333333,0.9791666666666666,0.8888888888888888,0.5
0097.jpg,12,25,9,0.07777777777777778,0.5925925925925926,0.9551282051282052,0.7407407407407408,0.75
0098.jpg,11,13,7,0.11776377217553688,0.38571428571428573,0.8844479275513759,0.4523809523809524,0.6363636363636364
0099.jpg,10,19,7,0.14372294372294372,0.5714285714285714,0.8857142857142858,0.42857142857142855,0.7
0100.jpg,5,11,5,0.025,0.2,0.975,0.8,1.0
0101.jpg,13,68,6,0.0763333624938034,0.12268518518518519,0.924001924001924,0.6481481481481481,0.46153846153846156
0103.jpg,12,18,10,0.11733654467137108,0.5142857142857142,0.9407317073170732,0.6773809523809524,0.8333333333333334
0104.jpg,12,20,11,0.026515151515151512,0.18181818181818182,0.9734848484848485,0.8181818181818182,0.9166666666666666
0106.jpg,12,30,9,0.10472978135813384,0.31851851851851853,0.916151172381289,0.6814814814814815,0.75
0108.jpg,9,22,7,0.014285714285714287,0.2857142857142857,1.0,0.8571428571428571,0.7777777777777778
0110.jpg,5,8,2,0.19090909090909092,1.0,0.801948051948052,0.0,0.4
0111.jpg,13,21,11,0.11141880994822172,0.3151515151515152,0.8916807257917302,0.6939393939393939,0.8461538461538461
0112.jpg,8,19,6,0.1660795143553764,0.38333333333333336,0.8372605123920912,0.6166666666666667,0.75
0113.jpg,8,34,3,0.25252525252525254,1.722222222222222,0.7916666666666666,0.1111111111111111,0.375
0114.jpg,8,28,2,0.3923444976076555,0.6428571428571428,0.6546052631578947,0.0,0.25
0115.jpg,5,5,4,0.03571428571428571,0.125,0.9615384615384616,0.875,0.8
0116.jpg,15,32,9,0.09385945134654514,0.23148148148148145,0.9091416401374326,0.7685185185185185,0.6
0117.jpg,6,13,5,0.04420012216114165,0.5700000000000001,0.9595317725752508,0.5900000000000001,0.8333333333333334
0118.jpeg,6,21,4,0.05138888888888889,0.4166666666666667,0.9440188172043011,0.5833333333333334,0.6666666666666666
0119.jpeg,5,9,4,0.0872093023255814,0.08333333333333333,0.9144736842105263,0.9166666666666666,0.8
0120.jpg,13,20,9,0.12617491441020853,0.23809523809523808,0.8824786324786325,0.6507936507936508,0.6923076923076923
0121.jpg,5,5,5,0.009302325581395349,0.0,1.0,1.0,1.0
0122.jpg,26,41,22,0.06398196485018398,0.3544011544011544,0.9399539448012743,0.6257575757575758,0.8461538461538461
0123.jpg,5,5,5,0.0,0.0,1.0,1.0,1.0
0124.jpg,8,8,8,0.003125,0.020833333333333332,0.9964285714285714,0.9791666666666666,1.0
0127.jpeg,8,12,8,0.08825757575757576,0.35357142857142854,0.9191440264716126,0.5714285714285714,1.0
0128.jpg,15,15,15,0.020370370370370372,0.1,0.9904761904761905,0.9333333333333333,1.0
0129.jpg,10,9,6,0.11027277277277277,0.6416666666666667,0.8862373737373738,0.35833333333333334,0.6
0130.jpg,10,14,7,0.06349206349206349,0.21428571428571427,0.9345238095238095,0.7857142857142857,0.7
0131.jpeg,12,22,8,0.1488095238095238,0.22916666666666666,0.8677884615384616,0.7083333333333334,0.6666666666666666
0132.jpg,6,8,5,0.08205128205128205,0.6,0.917948717948718,0.6,0.8333333333333334
0133.jpg,5,7,4,0.12642857142857142,0.5833333333333334,0.8790545203588682,0.41666666666666663,0.8
0134.jpg,8,9,8,0.0,0.0,1.0,1.0,1.0
0135.jpg,9,10,8,0.10115964854111406,0.6666666666666667,0.9303300865800865,0.3020833333333333,0.8888888888888888
0136.jpg,8,10,7,0.017857142857142856,0.19999999999999998,0.9897959183673469,0.8714285714285713,0.875
0137.jpg,8,8,8,0.008928571428571428,0.075,0.9947916666666667,0.875,1.0
0139.jpg,8,12,7,0.0,0.0,1.0,1.0,0.875
0140.jpg,12,13,11,0.05774217880837528,0.3667748917748918,0.9534978970305058,0.5272727272727272,0.9166666666666666
0142.jpeg,12,17,12,0.023528439153439152,0.13194444444444445,0.9790849673202615,0.8125,1.0
0143.jpg,5,10,5,0.10222222222222221,0.2,0.9083333333333334,0.7,1.0
0145.jpg,9,15,6,0.05833333333333333,0.3333333333333333,0.9416666666666668,0.6666666666666666,0.6666666666666666
0146.jpg,12,13,12,0.09507706464228204,0.34722222222222215,0.9264982702482704,0.7083333333333334,1.0
0147.jpeg,8,10,7,0.08333333333333333,0.3333333333333333,0.9261904761904762,0.6666666666666666,0.875
0148.jpg,12,15,10,0.006666666666666666,0.05,0.9925925925925926,0.95,0.8333333333333334
0149.jpg,18,29,13,0.07111829347123465,0.34615384615384615,0.9375693750693751,0.6153846153846154,0.7222222222222222
0151.jpg,6,5,3,0.08333333333333333,0.3333333333333333,0.9166666666666666,0.6666666666666666,0.5
0152.jpg,5,28,5,0.03468013468013468,0.11666666666666665,0.960421052631579,0.8833333333333332,1.0
0153.jpg,21,25,19,0.02987107921318448,0.10150375939849623,0.9753011561160968,0.8721804511278196,0.9047619047619048
0154.jpeg,7,10,6,0.0844017094017094,0.16666666666666666,0.9196310935441371,0.75,0.8571428571428571
0155.jpg,5,10,3,0.14814814814814814,0.16666666666666666,0.875,0.8333333333333334,0.6
0156.jpeg,10,9,6,0.09994225267081397,0.38888888888888884,0.9500375375375376,0.6944444444444443,0.6
0157.jpg,10,11,10,0.035273790536948436,0.2,0.9721878224974201,0.8,1.0
0158.jpg,5,13,3,0.2325,0.7222222222222222,0.8059523809523809,0.0,0.6
0160.jpg,6,7,5,0.028181818181818186,0.13999999999999999,0.9675,0.86,0.8333333333333334
0161.jpg,16,21,9,0.031746031746031744,0.14814814814814814,1.0,0.8888888888888888,0.5625
0162.jpeg,17,20,16,0.029845571095571097,0.16145833333333334,0.9740096618357489,0.8385416666666666,0.9411764705882353
0163.jpg,8,12,5,0.05,0.06666666666666667,0.96,0.8,0.625
0164.jpg,11,12,10,0.14360421240216634,1.4500000000000002,0.9535778388278388,0.6833333333333333,0.9090909090909091
0165.jpg,13,28,10,0.08944444444444445,0.2833333333333333,0.9099999999999999,0.6666666666666666,0.7692307692307693
0166.jpg,8,9,8,0.039606227106227104,0.25,0.9621108058608059,0.75,1.0
0167.jpg,11,17,9,0.03580704231524831,0.22592592592592592,0.9605452674897119,0.774074074074074,0.8181818181818182
0169.jpeg,11,17,10,0.089433465085639,0.20909090909090908,0.9200000000000002,0.7742424242424243,0.9090909090909091
0170.jpeg,9,10,9,0.05838779956427014,0.2037037037037037,0.9482456140350879,0.7407407407407407,1.0
0171.jpg,16,26,10,0.020504385964912282,0.043333333333333335,0.9836309523809523,0.89,0.625
