image,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer
0133.jpg,5.0,4.0,1.0,0.30914,0.73334
0134.jpg,8.0,8.0,8.0,0.0,0.0
0135.jpg,9.0,8.0,2.0,0.21417777777777777,0.6944444444444444
0136.jpg,8.0,7.0,4.0,0.16517500000000002,0.425
0137.jpg,8.0,8.0,3.0,0.033975,0.408325
0139.jpg,8.0,6.0,5.0,0.2672375,0.325
0140.jpg,12.0,11.0,5.0,0.11627500000000002,0.3841333333333334
0142.jpeg,12.0,12.0,7.0,0.03573333333333333,0.2569416666666667
0143.jpg,5.0,5.0,3.0,0.10222,0.2
0145.jpg,9.0,6.0,5.0,0.34444444444444444,0.4444444444444444
0146.jpg,12.0,12.0,7.0,0.10103333333333332,0.34722500000000006
0147.jpeg,8.0,7.0,3.0,0.1807,0.395825
0148.jpg,12.0,11.0,8.0,0.10214166666666664,0.16666666666666666
0149.jpg,18.0,12.0,9.0,0.35982222222222227,0.4722222222222222
0151.jpg,6.0,3.0,1.0,0.5465666666666666,0.75
0152.jpg,5.0,5.0,1.0,0.09945999999999999,0.45002
0153.jpg,21.0,19.0,16.0,0.10321428571428572,0.16326666666666667
0154.jpeg,7.0,6.0,5.0,0.2033,0.21428571428571427
0155.jpg,5.0,4.0,2.0,0.30706,0.4
0156.jpeg,10.0,3.0,1.0,0.76274,0.9
0157.jpg,10.0,10.0,4.0,0.04997,0.25
0158.jpg,5.0,3.0,0.0,0.5595,0.8333400000000001
0160.jpg,6.0,5.0,3.0,0.19015,0.2833333333333333
0161.jpg,16.0,9.0,6.0,0.4917625,0.777775
0162.jpeg,17.0,11.0,4.0,0.3886176470588235,0.5872529411764705
0163.jpg,8.0,6.0,3.0,0.29295000000000004,0.5416624999999999
0164.jpg,11.0,10.0,5.0,0.22145454545454546,1.409081818181818
0165.jpg,13.0,11.0,8.0,0.1953,0.2948692307692308
0166.jpg,8.0,8.0,5.0,0.0331625,0.1979125
0167.jpg,11.0,10.0,5.0,0.14556363636363637,0.33636363636363636
0169.jpeg,11.0,9.0,4.0,0.2794181818181818,0.4848454545454545
0170.jpeg,9.0,9.0,6.0,0.03157777777777778,0.1851888888888889
0171.jpg,16.0,12.0,8.0,0.28231875,0.3416625
0172.jpg,13.0,10.0,4.0,0.3441461538461539,0.6153846153846154
0173.jpg,10.0,10.0,7.0,0.03691,0.2
0176.jpg,13.0,12.0,7.0,0.13413076923076922,0.5448692307692308
0177.jpg,15.0,14.0,11.0,0.08441333333333333,0.2888866666666666
0178.jpg,14.0,10.0,8.0,0.33109285714285713,0.42857142857142855
0179.jpg,13.0,13.0,8.0,0.05088461538461538,0.35896923076923076
0180.jpg,12.0,10.0,7.0,0.19862499999999997,0.3333333333333333
0181.jpg,11.0,8.0,7.0,0.2884,0.33333636363636365
0182.jpg,9.0,7.0,2.0,0.3389555555555555,0.5907444444444444
0183.jpg,8.0,6.0,3.0,0.34762499999999996,0.5208375000000001
0185.jpg,11.0,7.0,4.0,0.44766363636363643,0.5454545454545454
0186.jpg,17.0,15.0,12.0,0.13624117647058823,0.2745117647058824
0187.jpg,5.0,2.0,0.0,0.64,0.71666
0190.jpg,7.0,2.0,0.0,0.7335,0.9285714285714286
0191.jpg,11.0,8.0,3.0,0.3490090909090909,0.6818181818181818
0193.jpg,8.0,7.0,5.0,0.167125,0.3
0194.jpg,8.0,7.0,1.0,0.254825,0.5729124999999999
0195.jpg,12.0,8.0,4.0,0.40345000000000003,0.5833333333333334
0196.jpg,11.0,7.0,3.0,0.43022727272727274,0.5181818181818182
0197.jpg,11.0,11.0,5.0,0.13889090909090906,0.4242454545454546
0198.jpg,9.0,7.0,3.0,0.2472111111111111,0.4148111111111111
0199.jpg,8.0,8.0,6.0,0.0187125,0.1875
0200.jpg,9.0,9.0,2.0,0.07743333333333334,0.4481444444444445
0201.jpg,10.0,7.0,4.0,0.38577,0.52222
0202.jpg,19.0,9.0,4.0,0.5882842105263157,0.8070157894736841
0203.jpg,10.0,3.0,1.0,0.74977,0.875
0204.jpg,26.0,21.0,13.0,0.23921153846153848,0.4423076923076923
0205.jpg,10.0,8.0,3.0,0.25482,0.38619
0206.jpg,10.0,8.0,4.0,0.25293,0.5549999999999999
0207.jpg,5.0,2.0,0.0,0.65818,0.8333400000000001
0208.jpg,12.0,9.0,6.0,0.31759166666666666,0.4583333333333333
